id,Name,AccountNumber,AcctType,BillingStreet,BillingCity,BillingState,BillingPostalCode,Phone,Fax,Email,Status,DateStarted,DateEnded
1,Sun Microsystems Inc.,1,Customer - Direct,16614 Easy Rock Field,AKRON,fl,68418,365-139-2338,174-540-8632,HenryWebster@example.com,Active,2014-05-09 12:57:36,2999-12-31 00:00:00
2,Service Corp. International,2,Customer - Channel,12142 Windy Maple Knoll,ANABEL,nc,76185,569-691-1186,335-111-6972,SamuelRoan@example.com,Active,2006-01-25 06:16:57,2999-12-31 00:00:00
3,IMC Global Inc.,3,Customer - Direct,23709 Hush Hills Cut,FLORENCE,ny,71038,850-147-8366,132-849-7858,CatherineNeumann@example.com,Active,2013-06-03 13:46:55,2999-12-31 00:00:00
4,American Eagle Outfitters Inc.,4,Customer - Channel,59099 Quiet Berry Shoal,STOCKTON,wa,84151,772-508-9848,273-130-1265,EdwardSmith@example.com,Active,2016-01-19 17:08:31,2999-12-31 00:00:00
5,Amazon.com Inc.,5,Customer - Channel,8145 Blue Autumn Turn,PLATO CENTER,ar,24957,421-506-6937,360-280-4962,PierreMchenry@example.com,Active,2005-06-24 19:46:29,2999-12-31 00:00:00
6,Ecolab Inc.,6,Customer - Channel,18332 Ivory Blossom Road,TIRE HILL,ut,83337,655-948-2238,618-714-5468,BrianHarvey@example.com,Active,2000-03-09 01:50:17,2999-12-31 00:00:00
7,Wendys International Inc,7,Customer - Direct,4235 Long Holly Summit,MIDLOTHIAN,ma,51572,724-900-1986,732-687-3500,RobertLong@example.com,Active,2006-02-16 08:38:14,2999-12-31 00:00:00
8,Arrow Electronics Inc.,8,Customer - Channel,1751 Crystal Butternut Knoll,AUBURN,fl,93515,188-313-3797,836-542-1107,JuliaFeder@example.com,Active,2018-12-26 05:40:14,2999-12-31 00:00:00
9,Emcor Group Inc.,9,Customer - Direct,33675 Quiet Bear Grove,HOMOSASSA,ky,28344,551-702-7157,359-692-8983,AngelaHill@example.com,Active,2002-07-18 19:13:26,2999-12-31 00:00:00
10,Nabors Industries Inc,10,Customer - Channel,23526 Heather Stone Pace,COLUMBUS,az,60130,917-178-1484,367-236-9862,RichardHenderson@example.com,Active,2000-05-11 03:22:41,2999-12-31 00:00:00
11,Dollar Tree Stores Inc.,11,Customer - Channel,100 Clear Log Vista,ROLLINSFORD,wi,71933,266-651-7461,294-369-3724,LeticiaKelly@example.com,Active,2001-10-20 12:02:00,2999-12-31 00:00:00
12,McKesson Corporation,12,Customer - Direct,2854 Bright Nut Glade,BOYCE,ny,01960,292-242-1901,933-538-4556,ArmandoHarman@example.com,Active,2013-12-07 02:13:17,2999-12-31 00:00:00
